Uuid,Void/Retire,Name,Strength,Concept drug,Concept dosage form
18939fec-a89d-11df-bba5-000c297f1161,,Duovir-N,1tab(s),654a2bc6-977f-11e1-8993-905e29aff6c1,
1893a4a6-a89d-11df-bba5-000c297f1161,,Acyclovir (200mg tablet),200mg,6549dd6a-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893adfc-a89d-11df-bba5-000c297f1161,,Albendazole (200mg tablet),200mg,654b1dba-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893b126-a89d-11df-bba5-000c297f1161,,Albendazole (400mg tablet),400mg,654b1dba-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893b2a2-a89d-11df-bba5-000c297f1161,,Aminophylline (100mg tablet),100mg,654b0fbe-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893bb9e-a89d-11df-bba5-000c297f1161,,Amoxicillin + Clavulanic Acid (375mg tablet),375mg,65484e78-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893bd10-a89d-11df-bba5-000c297f1161,,Amoxicillin (125mg tablet),125mg,65472b24-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893c418-a89d-11df-bba5-000c297f1161,,Amoxicillin (250mg capsule),250mg,65472b24-977f-11e1-8993-905e29aff6c1,6569265c-977f-11e1-8993-905e29aff6c1
1893cc10-a89d-11df-bba5-000c297f1161,,Amoxicillin (250mg tablet),250mg,65472b24-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893d43a-a89d-11df-bba5-000c297f1161,,Amoxicillin (500mg capsule),500mg,65472b24-977f-11e1-8993-905e29aff6c1,6569265c-977f-11e1-8993-905e29aff6c1
1893db56-a89d-11df-bba5-000c297f1161,,Ampicillin (1mg ampulle),1mg,654732b8-977f-11e1-8993-905e29aff6c1,656923d2-977f-11e1-8993-905e29aff6c1
1893ed1c-a89d-11df-bba5-000c297f1161,,Aspirin (300mg tablet),300mg,6545efde-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893ee20-a89d-11df-bba5-000c297f1161,,Atenolol (100mg tablet),100mg,65635d58-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893ef10-a89d-11df-bba5-000c297f1161,,Atenolol (50mg tablet),50mg,65635d58-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893f000-a89d-11df-bba5-000c297f1161,,Azithromycin (250mg tablet),250mg,6549e09e-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
